"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","GeneSymbol","EntrezID"
"100153340_TGI_at",2.36974986919518,-2.31516555582,5.55338049334546,6.60128082624524e-08,7.87585193688726e-06,7.83542778894152,"Yes","EME1",146956
"100157742_TGI_at",2.74496373440196,-1.78938940325764,5.53947949294971,7.09028309807219e-08,8.24711856355687e-06,7.76764879485735,"Yes","ASF1B",55723
"100151096_TGI_at",-3.32410515084928,-4.31821091752903,-5.52521528798601,7.62868576439528e-08,8.79451743550624e-06,7.69823914189061,"Yes","SFRP1",6422
"100136813_TGI_at",2.90835821843939,-1.04368555529105,5.51660062304895,7.97291244128852e-08,9.13530473684467e-06,7.65638907835189,"Yes","MKI67",4288
"100155455_TGI_at",2.28416518641022,-0.310707758698066,5.50205185116672,8.58888615192676e-08,9.75188880246862e-06,7.58582912106581,"Yes","CDKN2B",1030
"100124874_TGI_at",-2.33797874220572,-3.2700736441074,-5.49625925693638,8.84682224129973e-08,9.9844226268026e-06,7.55777698099899,"Yes","CBFA2T3",863
"100131461_TGI_at",2.72967419527682,-1.69994996760061,5.49488301926347,8.90920398984116e-08,1.00015981581818e-05,7.5511156550956,"Yes","CDC25C",995
"100154764_TGI_at",-3.49366440199488,-5.20351411236816,-5.49420806180083,8.93995457814204e-08,1.00015981581818e-05,7.54784918236824,"Yes","CYP26A1",1592
"100146716_TGI_at",-3.25928813937391,-3.12011622703147,-5.49284143868996,9.00253366784123e-08,1.00395614333771e-05,7.54123635673546,"Yes","LIFR",3977
"100160987_TGI_at",-2.72466776148906,-0.336680517402932,-5.48614630120857,9.31532443422915e-08,1.03270950704189e-05,7.50885883286677,"Yes","TBXA2R",6915
"100125950_TGI_at",2.83705136285242,-2.10201297039301,5.48024689918514,9.59968682135645e-08,1.06110420623594e-05,7.48035557423683,"Yes","CHEK1",1111
"100142823_TGI_at",-4.12267947926209,-3.55479259597226,-5.45464547604159,1.09347172528771e-07,1.1877125543284e-05,7.35694481744697,"Yes","KCNN2",3781
"100147871_TGI_at",2.06768476111832,-1.51869550961422,5.44090780485983,1.17238665274923e-07,1.26611020642591e-05,7.29091338996815,"Yes","MCM8",84515
"100134855_TGI_at",2.76925990972816,-1.33616650306079,5.42851898757084,1.2482850784277e-07,1.32451913336297e-05,7.23147970760954,"Yes","CDC20",991
"100130290_TGI_at",-2.42201972084074,-4.97715606028466,-5.42043187781342,1.30038574462654e-07,1.36893829284467e-05,7.19274146839153,"Yes","",79804
"100136131_TGI_at",-2.14838265766092,-3.04210739404806,-5.41286045612052,1.35107748658792e-07,1.40265729560627e-05,7.15651542611935,"Yes","KCNK17",89822
"100128102_TGI_at",2.36527808219394,-1.93530487296642,5.39750584551183,1.459847456139e-07,1.49901604089115e-05,7.08317495048025,"Yes","PAQR4",124222
"100157886_TGI_at",2.69146123685118,-2.5381159359827,5.39446697352391,1.48236189217088e-07,1.51798704718164e-05,7.06867978182114,"Yes","HELLS",3070
"100128357_TGI_at",-2.00385834261623,0.24774846645385,-5.3773516113467,1.61561292702221e-07,1.62782748051873e-05,6.98716353105333,"Yes","EIF5",1983
"100140106_TGI_at",-2.8432792893362,-5.06679679592677,-5.36885212781137,1.68604284265547e-07,1.68523569448612e-05,6.94676006187822,"Yes","LRAT",9227
